2025-08-27 12:41:38,403 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T12:41:38.403459'}
2025-08-27 13:11:25,928 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from faculty role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T13:11:25.928786'}
2025-08-27 13:11:36,395 - AUTH - WARNING - Auth Event: {'username': 'ravishyam121', 'event_type': 'STUDENT_LOGIN_WRONG_ROLE', 'success': False, 'details': 'User has role: faculty', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T13:11:36.395555'}
2025-08-27 13:11:46,489 - AUTH - WARNING - Auth Event: {'username': 'admin', 'event_type': 'STUDENT_LOGIN_WRONG_ROLE', 'success': False, 'details': 'User has role: faculty', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T13:11:46.489862'}
2025-08-27 13:11:51,070 - AUTH - WARNING - Auth Event: {'username': 'admin', 'event_type': 'STUDENT_LOGIN_WRONG_ROLE', 'success': False, 'details': 'User has role: faculty', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T13:11:51.070798'}
2025-08-27 15:49:58,958 - AUTH - WARNING - Auth Event: {'username': 'ravishyam121', 'event_type': 'STUDENT_LOGIN_WRONG_ROLE', 'success': False, 'details': 'User has role: faculty', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T15:49:58.958098'}
2025-08-27 15:55:03,133 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T15:55:03.133504'}
2025-08-27 16:05:03,051 - AUTH - INFO - Auth Event: {'username': 'admin', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Administrator logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36', 'timestamp': '2025-08-27T16:05:03.051198'}
2025-08-27 16:10:27,531 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T16:10:27.531505'}
2025-08-27 16:10:44,447 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T16:10:44.447665'}
2025-08-27 16:20:14,717 - AUTH - WARNING - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_INVALID_CREDENTIALS', 'success': False, 'details': 'Invalid credentials provided', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36', 'timestamp': '2025-08-27T16:20:14.717426'}
2025-08-27 16:59:40,943 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T16:59:40.943614'}
2025-08-27 16:59:45,242 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T16:59:45.242098'}
2025-08-27 17:07:33,706 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36', 'timestamp': '2025-08-27T17:07:33.706063'}
2025-08-27 17:30:54,088 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T17:30:54.088568'}
2025-08-27 17:31:03,158 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T17:31:03.158286'}
2025-08-27 17:53:45,207 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from faculty role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T17:53:45.207412'}
2025-08-27 17:53:58,109 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'STUDENT_LOGIN_SUCCESS', 'success': True, 'details': 'Student Alice Johnson logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T17:53:58.109389'}
2025-08-27 18:13:54,265 - AUTH - INFO - Auth Event: {'username': 'student1', 'event_type': 'LOGOUT', 'success': True, 'details': 'User logged out from student role', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:13:54.264911'}
2025-08-27 18:14:01,269 - AUTH - INFO - Auth Event: {'username': 'ravishyam121', 'event_type': 'FACULTY_LOGIN_SUCCESS', 'success': True, 'details': 'Faculty Ravi Shyam logged in', 'request_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'timestamp': '2025-08-27T18:14:01.269428'}
